game_no,game_date,used_word
51,08-09-2021,linen
50,08-08-2021,maxim
49,08-07-2021,pound
48,08-06-2021,mimic
47,08-05-2021,spike
46,08-04-2021,cluck
45,08-03-2021,crate
44,08-02-2021,digit
43,08-01-2021,repay
42,07-31-2021,sower
41,07-30-2021,crazy
40,07-29-2021,adobe
39,07-28-2021,outdo
38,07-27-2021,trawl
37,07-26-2021,whelp
36,07-25-2021,unfed
35,07-24-2021,paper
34,07-23-2021,staff
33,07-22-2021,croak
32,07-21-2021,helix
31,07-20-2021,floss
30,07-19-2021,pride
29,07-18-2021,batty
28,07-17-2021,react
27,07-16-2021,marry
26,07-15-2021,abase
25,07-14-2021,colon
24,07-13-2021,stool
23,07-12-2021,crust
22,07-11-2021,fresh
21,07-10-2021,death
20,07-09-2021,major
19,07-08-2021,feign
18,07-07-2021,abate
17,07-06-2021,bench
16,07-05-2021,quiet
15,07-04-2021,grade
14,07-03-2021,stink
13,07-02-2021,karma
12,07-01-2021,model
11,06-30-2021,dwarf
10,06-29-2021,heath
9,06-28-2021,serve
8,06-27-2021,naval
7,06-26-2021,evade
6,06-25-2021,focal
5,06-24-2021,blush
4,06-23-2021,awake
3,06-22-2021,humph
2,06-21-2021,sissy
1,06-20-2021,rebut
0,06-19-2021,cigar
